Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Will Wagner","SDP",24.088,87.352,78.8426,19.2469,14.0501,3.96893,0.122059,1.10588,8.82122,7.76199,7.00889,0.111672,15.6194,0.718697,0.515001,0.266813,2.02351,0.610475,0.19198,0.244119,0.0802373,0.17881,0.44873,0.309749,0.339634,0.288612,0.649383,0.0955155,3.11405,0.289644,,-0.0995561,8.58779,-1.73352,87.0325,-0.0995561,-0.04,-1.4420847818255424,-0.6595473065972328,0.0823196,999,,,,,,,74.3,3.095833333,74.3,3.095833333,,,,,,,,,,,,,,,,,,,"Will Wagner","29634",695238
"Kristian Campbell","BOS",31.533,123.373,109.879,26.8698,19.3425,4.45473,0.396855,2.67568,13.798,12.2161,10.9178,0.195797,32.5478,1.75119,0.653211,0.171969,2.72246,1.61424,0.581439,0.24454,0.0884943,0.263816,0.335439,0.320929,0.36536,0.304086,0.686289,0.120819,4.13572,0.321267,,-0.125298,13.6791,-0.898383,89.8214,-0.125298,-0.76,-1.6053696423768997,-1.845537781715393,0.0813784,737.530029296875,,,,,,,121,3.78125,121,3.78125,,,,,,,,,,,,,,,,,,,"Kristian Campbell","33644",692225
"Brice Matthews","HOU",10.87,40.176,36.0829,7.52811,4.7371,1.40698,0.0687263,1.3153,4.95997,3.93634,3.23977,0.00920914,13.7444,0.519715,0.204604,0.12901,0.474611,1.87078,0.269949,0.208634,0.0806394,0.342104,0.235716,0.281859,0.360793,0.283218,0.642651,0.152159,6.10452,0.292672,,0.207577,3.77386,-0.973243,80.2177,0.207577,0.18,-0.7291546165943146,0.10375140607357025,0.0774904,999,,,,,,,36.9,3.354545454,36.9,3.354545454,,,,,,,,,,,,,,,,,,,"Brice Matthews","33280",694728
"Bryce Teodosio","LAA",61.175,224.191,207.37,42.2136,29.716,8.52526,1.0242,2.94819,21.9459,14.6243,11.3021,0.00982629,71.2809,2.99399,1.15318,1.37218,2.9015,8.67333,1.75861,0.203567,0.050413,0.317947,0.158558,0.253613,0.297208,0.244581,0.550821,0.0936407,6.27748,0.292385,,0.723995,14.0262,-12.4637,51.8486,0.723995,4.09,-11.999305725097656,5.034058749675751,0.0768411,999,,,,,,,141.7,2.322950819,141.7,2.322950819,,,,,,,,,,,,,,,,,,,"Bryce Teodosio","29524",669326
"Eric Wagaman","MIN",30.257,118.375,109.372,27.1303,17.7069,5.86059,0.153946,3.40883,12.9824,13.5319,7.39599,0.0908978,23.025,0.553759,0.91586,0.136925,2.19526,1.08564,0.412827,0.248054,0.0624793,0.194509,0.321216,0.29669,0.397954,0.301337,0.694644,0.1499,3.33329,0.282888,,-0.120708,12.8607,-1.12626,91.3653,-0.120708,-0.09,-1.3254041075706482,-2.016082137823105,0.0749735,999,,,,,,,113.7,3.79,113.7,3.79,,,,,,,,,,,,,,,,,,,"Eric Wagaman","23395",676572
"Tommy Troy","ARI",11.198,43.51,39.6877,9.53206,6.70926,1.91701,0.132229,0.773568,4.70077,4.30462,2.94523,0.0270676,9.5635,0.467436,0.282372,0.127276,0.841969,0.927213,0.173783,0.240177,0.0676908,0.2198,0.307966,0.298384,0.353617,0.28742,0.652001,0.11344,4.98649,0.295566,,0.0476324,4.23547,-0.905571,81.4931,0.0476324,0,-0.9067362546920776,0.17280863225460052,0.0730164,999,,,,,,,42.1,3.827272727,42.1,3.827272727,,,,,,,,,,,,,,,,,,,"Tommy Troy","sa3022561",694371
"Korey Lee","CHW",33.017,105.513,98.5416,21.3289,14.5782,3.9849,0.253624,2.51216,10.016,9.95913,5.5513,0.0330614,28.4636,0.66975,0.502886,0.247498,1.79859,1.3201,0.433476,0.216446,0.0526125,0.269764,0.195032,0.261719,0.338512,0.262964,0.600231,0.122066,3.94908,0.276438,,-0.0505882,8.17605,-4.29112,65.4327,-0.0505882,-1.13,-4.34935287386179,1.4176079034805298,0.0716025,999,,,,,,,81.3,2.463636363,81.3,2.463636363,,,,,,,,,,,,,,,,,,,"Korey Lee","25543",686676
"Michael Arroyo","SEA",7.392,19.951,17.8008,4.09161,2.63942,0.851933,0.108831,0.491418,2.21753,2.08793,1.5546,0.0177819,4.81148,0.444984,0.126745,0.0238705,0.292404,0.309866,0.0588582,0.229855,0.0779211,0.241165,0.323103,0.305673,0.372762,0.299023,0.678435,0.142906,5.18188,0.285172,,0.00736187,2.13007,-0.227299,97.0609,0.00736187,0,-0.061749632470309734,0.073306143283844,0.0714384,999,,,,,,,13.3,1.9,13.3,1.9,,,,,,,,,,,,,,,,,,,"Michael Arroyo","sa3018429",703197
"Eduardo Valencia","DET",4.688,17.544,16.0354,3.92061,2.61513,0.777653,0.0204014,0.507434,1.82849,1.99896,1.16137,0.0898397,3.78876,0.140672,0.125093,0.0815019,0.3603,0.0739101,0.0164381,0.244498,0.0661974,0.215957,0.30653,0.299078,0.390473,0.298739,0.689551,0.145975,2.72154,0.287686,,-0.0172164,1.86903,-0.203925,90.0829,-0.0172164,-0.05,-0.22227880358695984,0.3117283992469311,0.0709318,999,,,,,,,21.7,4.34,21.7,4.34,,,,,,,,,,,,,,,,,,,"Eduardo Valencia","sa3006622",680664
"Gabriel Gonzalez","MIN",12.496,48.995,45.338,11.8549,8.21965,2.61622,0.0985432,0.920501,5.29749,5.08362,2.59553,0.0534682,8.64364,0.658061,0.322901,0.0804639,1.06675,0.561664,0.118956,0.261478,0.0529755,0.176419,0.300282,0.308876,0.384439,0.302757,0.693315,0.122961,4.01365,0.302919,,-0.0117715,5.37948,-0.409653,92.3438,-0.0117715,0,-0.4538895823061466,-0.5785185098648071,0.0669042,999,,,,,,,54.2,4.516666666,54.2,4.516666666,,,,,,,,,,,,,,,,,,,"Gabriel Gonzalez","sa3015723",694224
"Nelson Rada","LAA",18.934,74.353,66.2544,15.7049,12.0047,2.65884,0.332225,0.709101,8.25607,4.61451,5.83265,0.144543,16.7887,0.985253,0.387287,0.893373,1.56162,3.66109,0.52968,0.237039,0.0784454,0.225797,0.347416,0.306601,0.319307,0.280129,0.625908,0.0822676,6.35716,0.30514,,0.391998,6.79774,-1.98764,76.3364,0.391998,0,-1.6817318201065063,-0.22725994884967804,0.0665152,999,,,,,,,67.5,3.552631578,67.5,3.552631578,,,,,,,,,,,,,,,,,,,"Nelson Rada","sa3018421",703185
