Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Max Scherzer","TOR",3.68912,4.54025,1.71066,4.6766,21.212,11.33,0,0.6524,,68.5883,291,64.4164,38,35.64,12.875,20.8236,0.67549,3.10447,63.7456,8.36455,2.73242,3.06122,1.68943,0.219057,0.0715587,0.14749806374311447,0.241195,1.24278,0.270627,0.702819,,,4.76323,0.643714,0.388895,709.9400024414062,,,,,,,244.30000000000004,3.540579710144928,236,3.420289855072464,,,,,,,,,,,,,,,,,,,"Max Scherzer","3137",453286
"Erik Sabrowski","CLE",2.32725,1.83162,0,3.51939,57.818,0,2,13.582,,59.4051,248.862,40.9655,24.71,23.23,6.81033,29.7612,1.28647,3.65134,73.6361,11.156,4.50889,2.47423,1.03178,0.295891,0.119589,0.17630186676979065,0.19014,1.19058,0.252996,0.752002,,,3.83373,0.629281,0.599183,999,,,,,,,355.9,6.032203389830508,316,5.3559322033898304,,,,,,,,,,,,,,,,,,,"Erik Sabrowski","24978",681870
"Graham Ashcraft","CIN",2.12665,1.58846,0,3.68213,54.142,0.275,2,15.5476,,62.0592,261.165,56.3999,27.21,25.39,5.45296,21.308,1.45269,2.66317,54.7313,7.93728,3.09014,2.56858,0.790804,0.209565,0.081588,0.12797746062278748,0.237779,1.25216,0.287819,0.720639,,,3.67235,0.629147,0.55452,999,,,,,,,363.69999999999993,5.866129032258064,357,5.758064516129032,,,,,,,,,,,,,,,,,,,"Graham Ashcraft","27552",668933
"Garrett Cleavinger","TBR",2.80667,1.8912,0,3.69927,62.115,0,8,13.4459,,61.6256,259.484,50.9142,27.22,25.33,6.83321,22.809,1.14045,5.09324,72.0476,10.5221,3.3311,3.15874,0.997944,0.277658,0.0879015,0.18975618481636047,0.219854,1.19631,0.288676,0.724838,,,3.59668,0.619942,0.5542,558.0900268554688,,,,,,,392.0999999999999,6.324193548387095,371,5.983870967741935,,,,,,,,,,,,,,,,,,,"Garrett Cleavinger","17897",664076
"Tanner Scott","LAD",3.35857,1.42911,0,3.7798,61.707,0,5,14.7389,,63.1939,266.858,53.3771,28.48,26.54,7.17201,24.4374,1.44555,3.70037,70.3851,10.0242,3.48035,2.88022,1.02143,0.263755,0.0915745,0.17218021303415298,0.223597,1.23136,0.286698,0.72793,,,3.71873,0.616217,0.504857,721.9400024414062,,,,,,,383.3,6.084126984126985,365,5.7936507936507935,,,,,,,,,,,,,,,,,,,"Tanner Scott","17586",656945
"Andrew Nardi","MIA",2.1191,1.53788,0,3.66039,52.319,0,1,9.8362,,51.5601,215.73,42.5702,22.58,20.97,6.22284,19.2381,1.15593,2.15128,61.5653,10.7464,3.35808,3.20017,1.08622,0.285381,0.0891767,0.19620421528816223,0.219049,1.19876,0.287211,0.738814,,,3.56055,0.614225,0.428156,999,,,,,,,305.2,5.869230769230769,288,5.538461538461538,,,,,,,,,,,,,,,,,,,"Andrew Nardi","25942",677053
"Erick Fedde","CHW",4.38224,7.71296,4.27363,5.32242,21.632,16.448,0,0.5829,,95.8606,422.163,102.455,60.36,56.69,14.3256,37.829,0.736952,2.4216,65.9389,6.19076,3.55162,1.74308,1.34498,0.156193,0.0896075,0.06658536940813065,0.268268,1.46341,0.292159,0.664769,,,4.96182,0.611287,-0.0656441,999,,,,,,,289.00000000000006,3.0104166666666674,314,3.2708333333333335,,,,,,,,,,,,,,,,,,,"Erick Fedde","17425",607200
"Stephen Kolek","KCR",2.75551,3.91888,0.509598,4.55588,29.49,8.036,0,0.666,,68.2129,297.11,71.0205,36.96,34.53,7.2046,23.34,1.13764,4.34562,49.3531,6.51164,3.07948,2.11453,0.950574,0.16611,0.0785568,0.08755356818437576,0.263601,1.38332,0.299792,0.681117,,,4.27877,0.606707,0.297818,999,,,,,,,253.50000000000003,3.7279411764705888,270,3.9705882352941178,,,,,,,,,,,,,,,,,,,"Stephen Kolek","21487",663568
"Hunter Harvey","CHC",2.21555,1.43302,0,3.66995,50.063,0,4,12.8961,,52.4558,216.174,44.223,22.92,21.39,6.03296,15.8532,0.967801,2.0268,56.4561,9.68635,2.71998,3.56118,1.03509,0.26116,0.0733352,0.18782488256692886,0.223017,1.14527,0.281211,0.719662,,,3.50032,0.600814,0.428214,746.510009765625,,,,,,,326.6,6.2807692307692315,312,6,,,,,,,,,,,,,,,,,,,"Hunter Harvey","15507",640451
"JoJo Romero","STL",2.77659,1.92159,0,3.69932,61.621,0,13,9.4502,,61.7464,260.521,56.0657,27.22,25.38,5.19333,21.7844,1.31775,2.95382,55.7481,8.1257,3.17524,2.55908,0.756966,0.213987,0.0836187,0.13036825507879257,0.237786,1.26081,0.290963,0.717349,,,3.62475,0.599485,0.5542,488.57000732421875,,,,,,,389.69999999999993,6.285483870967741,383,6.17741935483871,,,,,,,,,,,,,,,,,,,"JoJo Romero","19574",668941
