Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Adael Amador","COL",47.781,175.252,157.177,38.7455,27.7675,7.08774,0.603111,3.2872,20.3735,16.6916,14.464,0.30804,29.8652,1.49782,1.13187,0.980806,3.56796,5.65436,1.8103,0.246508,0.0825328,0.170413,0.484312,0.313921,0.362018,0.298333,0.675939,0.11551,5.19944,0.283311,,0.102868,18.6126,-2.09474,76.3001,0.102868,-0.32,-4.819834858179092,0.4173610806465149,0.146123,999,,,,,,,166.4,3.466666666,166.4,3.466666666,,,,,,,,,,,,,,,,,,,"Adael Amador","27962",691182
"Angel Martínez","CLE",69.865,272.908,248.613,56.9925,38.723,11.2247,1.18234,5.86249,27.7667,25.512,16.9526,0.334514,57.5192,2.80997,2.17869,2.35377,4.35749,4.66684,1.39656,0.229242,0.0621184,0.210764,0.29473,0.283696,0.354645,0.279625,0.63834,0.125403,4.82556,0.272824,,-0.0224427,24.8389,-7.40732,78.3515,-0.0224427,-2.13,-6.985782474279404,-0.9992432594299316,0.144058,999,,,,,,,230.9,3.298571428,230.9,3.298571428,,,,,,,,,,,,,,,,,,,"Angel Martinez","26540",682657
"Paul DeJong","NYY",22.693,86.584,79.0261,16.1983,9.72393,2.99555,0.0704933,3.40837,8.87356,10.1678,5.03514,0.00129789,27.4093,1.1305,0.674293,0.0903735,1.03334,0.809183,0.305159,0.204975,0.0581533,0.316564,0.183702,0.260452,0.374054,0.275829,0.634506,0.169079,3.4459,0.261647,,-0.0680205,7.61362,-2.61695,75.6801,-0.0680205,0.03,-2.5498548820614815,0.963868347927928,0.142633,999,,,,,,,67.4,2.930434782,67.4,2.930434782,,,,,,,,,,,,,,,,,,,"Paul DeJong","18015",657557
"Christopher Morel","MIA",84.877,327.545,292.572,64.9608,37.3721,13.5751,0.979697,13.0339,38.8578,40.6242,28.9953,0.603593,99.1437,3.4169,2.12846,0.431874,4.7792,6.80198,2.24105,0.222033,0.0885233,0.302687,0.292458,0.297674,0.408777,0.306822,0.706451,0.186744,4.71808,0.284494,,-0.0140609,37.0444,-1.65756,94.4271,-0.0140609,-0.43,-2.1774891735985875,-7.328438937664032,0.142375,999,,,,,,,343.2,4.037647058,343.2,4.037647058,,,,,,,,,,,,,,,,,,,"Christopher Morel","21897",666624
"Aidan Miller","PHI",14.091,55.745,50.1169,11.4011,7.5781,2.37232,0.167636,1.28306,6.55208,5.29599,4.54483,0.0407273,14.5909,0.674325,0.331337,0.0775713,0.778717,2.26832,0.343425,0.22749,0.0815289,0.261744,0.311484,0.298564,0.35832,0.290116,0.656883,0.130829,5.93259,0.292647,,0.228811,5.54851,-1.03819,82.7138,0.228811,0,-0.9132795184850693,0.43490737676620483,0.14081,999,,,,,,,48.6,3.471428571,48.6,3.471428571,,,,,,,,,,,,,,,,,,,"Aidan Miller","sa3022609",805795
"Leody Taveras","BAL",20.94,77.254,70.8664,16.8567,11.2261,3.01891,0.342701,2.26898,9.60534,7.57792,5.0576,0.140277,16.9354,0.237424,0.590394,0.502223,0.997217,3.13938,0.752411,0.237865,0.0654671,0.219217,0.298641,0.288615,0.386191,0.292684,0.674805,0.148325,6.13284,0.279177,,0.211609,7.85041,-1.27774,87.6071,0.211609,-0.38,-0.9167972654104233,-0.409377109259367,0.13636,999,,,,,,,69.6,3.314285714,69.6,3.314285714,,,,,,,,,,,,,,,,,,,"Leody Taveras","18900",665750
"Rafael Flores Jr.","PIT",23.738,78.233,71.5379,16.5904,11.3012,3.23572,0.11111,1.94246,7.8122,8.47571,5.57594,0.134536,22.4786,0.606094,0.424665,0.0883618,1.40721,0.4006,0.0836504,0.231911,0.0712735,0.287328,0.248056,0.291415,0.361707,0.286593,0.653121,0.129796,3.12781,0.308109,,-0.0686664,7.563,-1.68083,80.0269,-0.0686664,0.17,-1.9206224232912064,0.6279089599847794,0.134041,999,,,,,,,71.7,2.9875,71.7,2.9875,,,,,,,,,,,,,,,,,,,"Rafael Flores Jr.","31991",804668
"Graham Pauley","MIA",86.921,320.53,288.962,63.4901,41.1898,13.5429,0.823965,7.93343,31.3865,33.4882,25.6502,0.805761,68.2082,2.95507,2.21438,0.748119,4.84337,4.24445,1.26053,0.219718,0.0800245,0.212798,0.376058,0.287994,0.354653,0.282416,0.642647,0.134935,3.86746,0.258361,,-0.122766,29.8995,-7.97355,77.7081,-0.122766,0.95,-8.591345846652985,-0.765710175037384,0.133728,999,,,,,,,277.1,3.185057471,277.1,3.185057471,,,,,,,,,,,,,,,,,,,"Graham Pauley","31363",688363
"Michael Helman","TEX",42.403,147.607,136.229,27.9315,17.8374,6.02925,0.471441,3.59345,15.0126,13.3599,8.43109,0.146184,35.2344,1.33021,0.905738,0.710859,1.79644,3.61029,0.876683,0.205033,0.0571185,0.238704,0.239286,0.256595,0.335347,0.259257,0.591941,0.130313,5.28061,0.247572,,0.181809,10.9935,-6.44738,64.5413,0.181809,1.39,-5.987012326717377,2.2014153599739075,0.132474,999,,,,,,,107.6,2.561904761,107.6,2.561904761,,,,,,,,,,,,,,,,,,,"Michael Helman","24605",680737
"Maximo Acosta","MIA",24.02,87.83,80.8287,18.9356,12.8594,3.86556,0.369425,1.84128,9.60629,8.41427,5.39561,0.0635661,21.7371,0.771713,0.560868,0.273067,1.39814,3.04708,0.802028,0.234269,0.0614324,0.24749,0.248221,0.286704,0.359574,0.283082,0.646278,0.125305,5.74937,0.295693,,0.155783,8.24039,-2.1374,78.1641,0.155783,-0.23,-2.1172664016485214,0.4372221976518631,0.12708,999,,,,,,,76.7,3.195833333,76.7,3.195833333,,,,,,,,,,,,,,,,,,,"Maximo Acosta","27963",691185
